                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1157,                 2.9085,                  1.302,                0.71915,                0.48249,                0.60964,                0.42498,                 1.0538,                 2.8876,                 1.2301,             0.00065801,             0.00065801,             0.00065801
                      2,                 1.1155,                 2.3084,                 1.2549,                0.72032,                0.62319,                0.69921,                 0.4508,                 1.0903,                 2.5703,                 1.3532,              0.0012722,              0.0012722,              0.0012722
                      3,                 1.1618,                 2.0094,                 1.2909,                0.65564,                0.62319,                0.65117,                0.45207,                 1.0592,                 2.0089,                 1.2725,              0.0018336,              0.0018336,              0.0018336
                      4,                  1.112,                 1.7634,                 1.2686,                0.50095,                0.71014,                0.51606,                0.33084,                 1.1546,                 2.0094,                 1.4191,              0.0017624,              0.0017624,              0.0017624
                      5,                 1.0971,                 1.6131,                 1.2739,                0.75797,                0.73913,                0.75101,                0.51782,                 1.0654,                 1.4583,                  1.292,              0.0016832,              0.0016832,              0.0016832
                      6,                 1.0794,                 1.5534,                 1.2534,                0.68083,                0.81159,                0.73355,                0.52458,                0.99304,                 1.2828,                 1.2016,               0.001604,               0.001604,               0.001604
                      7,                 1.0652,                 1.4609,                 1.2073,                0.64219,                0.83239,                0.77376,                0.58699,                0.94027,                 1.3003,                  1.162,              0.0015248,              0.0015248,              0.0015248
                      8,                 1.0308,                 1.3184,                 1.2141,                0.77161,                0.75362,                0.78256,                0.58179,                0.92928,                 1.1944,                 1.1883,              0.0014456,              0.0014456,              0.0014456
                      9,                0.95271,                 1.2197,                 1.1595,                0.69912,                0.75362,                0.74295,                0.55735,                0.98371,                 1.1725,                 1.1968,              0.0013664,              0.0013664,              0.0013664
                     10,                0.91448,                   1.15,                 1.1385,                0.78375,                0.78793,                0.76649,                0.59651,                0.88435,                 1.0091,                 1.1536,              0.0012872,              0.0012872,              0.0012872
                     11,                0.96602,                 1.1467,                 1.1757,                0.82172,                0.75362,                0.81614,                0.66699,                 0.8103,                0.97778,                 1.0741,               0.001208,               0.001208,               0.001208
                     12,                 0.9673,                 1.1818,                 1.1792,                0.76562,                0.86957,                0.78292,                0.61225,                0.86781,                0.98544,                  1.128,              0.0011288,              0.0011288,              0.0011288
                     13,                0.88642,                  1.071,                 1.1283,                0.82301,                0.80874,                  0.796,                0.65894,                0.74772,                0.93303,                 1.0513,              0.0010496,              0.0010496,              0.0010496
                     14,                0.94206,                 1.1015,                  1.167,                0.86822,                0.84058,                 0.8359,                 0.6833,                0.68125,                0.81467,                  1.014,              0.0009704,              0.0009704,              0.0009704
                     15,                0.86216,                 1.0173,                 1.1255,                0.84402,                0.86271,                0.85183,                0.70046,                0.73793,                0.86071,                 1.0536,              0.0008912,              0.0008912,              0.0008912
                     16,                0.77888,                0.98294,                 1.0818,                0.81475,                0.82866,                 0.8226,                 0.6821,                0.72522,                0.84051,                 1.0567,               0.000812,               0.000812,               0.000812
                     17,                0.78345,                0.92739,                 1.0766,                0.78408,                0.85507,                0.82229,                0.64766,                0.78332,                0.95388,                 1.0749,              0.0007328,              0.0007328,              0.0007328
                     18,                0.77703,                0.86314,                 1.0574,                0.82875,                0.86957,                0.86382,                 0.6892,                0.74319,                 0.7914,                 1.0709,              0.0006536,              0.0006536,              0.0006536
                     19,                0.73104,                0.84554,                 1.0539,                0.85435,                0.85016,                0.85686,                0.69496,                0.69524,                0.78316,                 1.0212,              0.0005744,              0.0005744,              0.0005744
                     20,                0.69653,                0.77166,                 1.0155,                0.86637,                0.88406,                0.86316,                0.70176,                0.67651,                 0.8655,                 1.0311,              0.0004952,              0.0004952,              0.0004952
                     21,                0.71447,                0.74442,                 1.0302,                0.82687,                0.83067,                0.82728,                0.65947,                 0.7442,                0.81739,                 1.0812,               0.000416,               0.000416,               0.000416
                     22,                0.68667,                0.74083,                 1.0119,                0.86826,                0.84058,                0.81663,                0.67672,                0.68159,                0.78455,                 1.0379,              0.0003368,              0.0003368,              0.0003368
                     23,                0.64155,                0.70402,                0.99993,                0.88127,                0.86957,                0.86612,                0.72138,                0.64196,                0.72323,                 1.0118,              0.0002576,              0.0002576,              0.0002576
                     24,                0.63483,                0.69665,                0.98277,                0.86101,                0.84058,                0.85768,                0.72016,                0.66773,                0.74387,                 1.0326,              0.0001784,              0.0001784,              0.0001784
                     25,                0.62687,                0.68288,                0.98658,                0.86465,                0.84058,                0.85837,                0.72827,                0.63704,                0.72665,                 1.0259,               9.92e-05,               9.92e-05,               9.92e-05
